borough,cd,schooldist,zipcode,address,bldgclass,landuse,numfloors,bldgdepth,yearbuilt,landmark,latitude,longitude
MN,111.0,4.0,10035.0,333 PLEASANT AVENUE,C,2.0,3.0,50.0,1900.0,,40.7962843,-73.9326027
MN,111.0,4.0,10035.0,435 EAST 117 STREET,R,4.0,6.0,0.0,2006.0,,40.796293,-73.9334117
MN,111.0,4.0,10035.0,2316 1 AVENUE,V,11.0,,0.0,0.0,,40.7977343,-73.9338075
MN,111.0,4.0,10035.0,503 EAST 118 STREET,C,2.0,5.0,67.0,1900.0,,40.7963661,-73.9316274
MN,111.0,4.0,10035.0,442 EAST 118 STREET,A,1.0,3.0,57.0,1900.0,,40.7964465,-73.9330287
MN,111.0,4.0,10035.0,449 EAST 117 STREET,C,2.0,4.0,60.0,1890.0,,40.7961749,-73.9331373
MN,111.0,4.0,10029.0,277 PLEASANT AVENUE,V,11.0,,0.0,0.0,,40.7942294,-73.9341144
MN,107.0,3.0,10023.0, WEST END AVENUE,Q,9.0,,0.0,0.0,,40.7746064,-73.9888833
MN,102.0,2.0,10013.0,510 GREENWICH STREET,S,4.0,3.0,30.0,1899.0,,40.7257747,-74.0093191
MN,102.0,2.0,10012.0,64 THOMPSON STREET,C,2.0,5.0,75.0,1900.0,,40.7240926,-74.0029872
MN,104.0,2.0,10001.0,262 11 AVENUE,G,5.0,5.0,96.0,1915.0,,40.7515867,-74.0046379
MN,111.0,5.0,10037.0,45 EAST 135 STREET,D,3.0,13.0,95.0,1946.0,,40.8125373,-73.9351764
MN,111.0,5.0,10037.0,2101 MADISON AVENUE,D,3.0,14.0,175.83,1947.0,,40.8107675,-73.9360379
MN,111.0,4.0,10029.0,1620 MADISON AVENUE,V,11.0,,0.0,0.0,,40.7951838,-73.9486935
MN,111.0,5.0,10037.0,2289 5 AVENUE,D,3.0,16.0,306.0,1970.0,,40.8147688,-73.9352284
MN,110.0,5.0,10037.0,2340 5 AVENUE,E,6.0,3.0,100.0,1932.0,,40.8169782,-73.9349517
MN,112.0,6.0,10032.0,948 ST NICHOLAS AVENUE,B,1.0,3.0,48.0,1899.0,,40.8327578,-73.9404796
MN,104.0,2.0,10019.0,899 10 AVENUE,W,8.0,6.0,200.0,1920.0,,40.770363,-73.9884688
MN,107.0,3.0,10023.0,243 WEST 60 STREET,R,4.0,9.0,0.0,2007.0,,40.7721169,-73.9891184
MN,107.0,3.0,10023.0,2 AMSTERDAM AVENUE,R,4.0,35.0,130.5,1991.0,,40.7708981,-73.9877972
MN,107.0,3.0,10023.0,242 WEST 61 STREET,D,3.0,6.0,88.0,1900.0,,40.772342,-73.9888909
MN,107.0,3.0,10023.0,10 WEST END AVENUE,R,4.0,,0.0,2005.0,,40.7717959,-73.9899163
MN,107.0,3.0,10023.0,20 WEST END AVENUE,W,8.0,7.0,100.0,1957.0,,40.7722981,-73.989548
MN,107.0,3.0,10023.0,225 WEST 60 STREET,R,4.0,19.0,100.0,2004.0,,40.7717463,-73.9882411
MN,107.0,3.0,10023.0,246 WEST 61 STREET,W,8.0,9.0,100.0,2011.0,,40.772493,-73.9892483
MN,107.0,3.0,10019.0,537 WEST 59 STREET,V,11.0,,0.0,0.0,,40.7713182,-73.9891727
MN,107.0,3.0,10019.0,555 WEST 59 STREET,R,4.0,33.0,200.0,2007.0,,40.7715982,-73.9893965
MN,107.0,3.0,10019.0,517 WEST 59 STREET,D,4.0,33.0,186.0,1973.0,,40.7710986,-73.9882737
MN,107.0,3.0,10023.0,1 WEST END AVENUE,R,4.0,43.0,271.0,2014.0,,40.7721994,-73.9909019
MN,107.0,3.0,10023.0,21 WEST END AVENUE,R,4.0,43.0,259.0,2013.0,,40.7727182,-73.9904289
MN,107.0,3.0,10023.0,10 RIVERSIDE BLVD,R,4.0,39.0,0.0,2016.0,,40.7729544,-73.9925048
MN,107.0,3.0,10023.0,639 WEST 59 STREET,D,4.0,33.0,0.0,2016.0,,40.7726771,-73.9918044
MN,107.0,3.0,10069.0,80 RIVERSIDE BOULEVARD,R,4.0,43.0,135.0,2006.0,,40.7750511,-73.9899483
MN,107.0,3.0,10023.0,320 WEST 66TH STREET,R,5.0,7.0,366.0,1989.0,,40.7759046,-73.9882368
MN,107.0,3.0,10023.0,20 AMSTERDAM AVENUE,W,8.0,5.0,249.0,1957.0,,40.7715898,-73.987501
MN,107.0,3.0,10069.0,120 RIVERSIDE BOULEVARD,R,4.0,18.0,137.9,2004.0,,40.7762642,-73.9890563
MN,107.0,3.0,10069.0,100 RIVERSIDE BOULEVARD,R,4.0,30.0,0.0,2006.0,,40.7757016,-73.9894861
MN,107.0,3.0,10023.0,33 WEST END AVENUE,R,4.0,25.0,240.0,2006.0,,40.7733165,-73.9899341
MN,107.0,3.0,10069.0,101 WEST END AVENUE,D,3.0,33.0,240.0,1999.0,,40.7751525,-73.988385
MN,107.0,3.0,10023.0,75 WEST END AVENUE,D,3.0,37.0,206.0,1994.0,,40.7737913,-73.9894033
MN,107.0,3.0,10069.0, WEST END AVENUE,V,11.0,,0.0,0.0,,40.7754655,-73.9887965
MN,107.0,3.0,10023.0,400 WEST 61ST STREET,R,4.0,38.0,200.0,2016.0,,40.7732919,-73.9915841
MN,107.0,3.0,10069.0,60 RIVERSIDE BOULEVARD,R,4.0,40.0,135.0,2008.0,,40.7744885,-73.990786
MN,107.0,3.0,10069.0,400 WEST 63 STREET,D,3.0,23.0,180.0,2009.0,,40.7743238,-73.9902914
MN,107.0,3.0,10069.0,50 RIVERSIDE BOULEVARD,R,4.0,33.0,196.0,2013.0,,40.7739918,-73.9912844
MN,107.0,3.0,10023.0,5 WEST END AVENUE,Q,9.0,,0.0,0.0,,40.7748536,-73.9915803
MN,107.0,3.0,10069.0,301 FREEDOM PLACE SOUTH,W,8.0,9.0,202.0,2016.0,,40.7737392,-73.9906959
MN,106.0,2.0,10017.0,211 EAST 43 STREET,O,5.0,24.0,200.83,1928.0,,40.7514436,-73.9730065
MN,106.0,2.0,10017.0,633 3 AVENUE,R,5.0,41.0,200.0,1960.0,,40.7495666,-73.9746242
