zipcode,address,bldgclass,numfloors,bldgdepth,yearbuilt,latitude,longitude
10032.0,948 ST NICHOLAS AVENUE,Residential,3.0,48.0,1899.0,40.8327578,-73.9404796
10019.0,899 10 AVENUE,Education,6.0,200.0,1920.0,40.770363,-73.9884688
10023.0,243 WEST 60 STREET,Residential,9.0,0.0,2007.0,40.7721169,-73.9891184
10023.0,2 AMSTERDAM AVENUE,Residential,35.0,130.5,1991.0,40.7708981,-73.9877972
10023.0,242 WEST 61 STREET,High Rise,6.0,88.0,1900.0,40.772342,-73.9888909
10023.0,10 WEST END AVENUE,Residential,,0.0,2005.0,40.7717959,-73.9899163
10023.0,20 WEST END AVENUE,Education,7.0,100.0,1957.0,40.7722981,-73.989548
10023.0,225 WEST 60 STREET,Residential,19.0,100.0,2004.0,40.7717463,-73.9882411
10023.0,246 WEST 61 STREET,Education,9.0,100.0,2011.0,40.772493,-73.9892483
10019.0,537 WEST 59 STREET,Commercial,,0.0,0.0,40.7713182,-73.9891727
10019.0,555 WEST 59 STREET,Residential,33.0,200.0,2007.0,40.7715982,-73.9893965
10019.0,517 WEST 59 STREET,High Rise,33.0,186.0,1973.0,40.7710986,-73.9882737
10023.0,1 WEST END AVENUE,Residential,43.0,271.0,2014.0,40.7721994,-73.9909019
10023.0,21 WEST END AVENUE,Residential,43.0,259.0,2013.0,40.7727182,-73.9904289
10023.0,10 RIVERSIDE BLVD,Residential,39.0,0.0,2016.0,40.7729544,-73.9925048
10023.0,639 WEST 59 STREET,High Rise,33.0,0.0,2016.0,40.7726771,-73.9918044
10069.0,80 RIVERSIDE BOULEVARD,Residential,43.0,135.0,2006.0,40.7750511,-73.9899483
10023.0,320 WEST 66TH STREET,Residential,7.0,366.0,1989.0,40.7759046,-73.9882368
10023.0,20 AMSTERDAM AVENUE,Education,5.0,249.0,1957.0,40.7715898,-73.987501
10069.0,120 RIVERSIDE BOULEVARD,Residential,18.0,137.9,2004.0,40.7762642,-73.9890563
10069.0,100 RIVERSIDE BOULEVARD,Residential,30.0,0.0,2006.0,40.7757016,-73.9894861
10023.0,33 WEST END AVENUE,Residential,25.0,240.0,2006.0,40.7733165,-73.9899341
10069.0,101 WEST END AVENUE,High Rise,33.0,240.0,1999.0,40.7751525,-73.988385
10023.0,75 WEST END AVENUE,High Rise,37.0,206.0,1994.0,40.7737913,-73.9894033
10069.0, WEST END AVENUE,Commercial,,0.0,0.0,40.7754655,-73.9887965
10023.0,400 WEST 61ST STREET,Residential,38.0,200.0,2016.0,40.7732919,-73.9915841
10069.0,60 RIVERSIDE BOULEVARD,Residential,40.0,135.0,2008.0,40.7744885,-73.990786
10069.0,400 WEST 63 STREET,High Rise,23.0,180.0,2009.0,40.7743238,-73.9902914
10069.0,50 RIVERSIDE BOULEVARD,Residential,33.0,196.0,2013.0,40.7739918,-73.9912844
10023.0,5 WEST END AVENUE,Commercial,,0.0,0.0,40.7748536,-73.9915803
10069.0,301 FREEDOM PLACE SOUTH,Education,9.0,202.0,2016.0,40.7737392,-73.9906959
10017.0,211 EAST 43 STREET,High Rise,24.0,200.83,1928.0,40.7514436,-73.9730065
10017.0,633 3 AVENUE,Residential,41.0,200.0,1960.0,40.7495666,-73.9746242
10016.0,239 EAST 39 STREET,Residential,4.0,52.0,1900.0,40.7484302,-73.974242
