name,longitude,latitude
Sedgwick Ave & W Tremont Ave,-73.91830623149872,40.85304455868985
W 67 St & Broadway,-73.98266566,40.77492513
E 53 St & 3 Ave,-73.96930575370789,40.75763227739443
W 37 St & 10 Ave,-73.9979009,40.75660359
Broad St & Bridge St,-74.01167797,40.70365182
34 St & 48 Ave,-73.93147185444832,40.740821207823245
E 78 St & 2 Ave,-73.95577801,40.7727966
E 128 St & Madison Ave,-73.939182,40.80756
E 68 St & 3 Ave,-73.96224617958069,40.76712840349542
Ave D & E 12 St,-73.97422494,40.72580614
St Nicholas Ave & Manhattan Ave,-73.953149,40.809725
E 31 St & 3 Ave,-73.97966069,40.74394314
Edgecombe Ave & W 145 St,-73.94386,40.823498
W 148 St & Amsterdam Ave,-73.945909,40.827075
Cherry St,-73.97948148,40.71219906
W 107 St & Columbus Ave,-73.9621128676,40.7997568
Cauldwell Ave & E 161 St,-73.907521,40.82188
Sedgwick Ave & Hall of Fame Terrace,-73.913303,40.859532
Rivington St & Ridge St,-73.98329859,40.71850211
Stanhope St & Fairview Ave,-73.91116,40.70998
W 50 St & 9 Ave,-73.98917958140373,40.76360467795863
Columbia Heights & Cranberry St,-73.99548059,40.70037867
E 98 St & Park Ave,-73.95206,40.78813
Goble Pl & Macombs Rd,-73.917256,40.844075
Nassau Ave & Newell St,-73.94752621650696,40.724812564400175
9 St & 44 Rd,-73.9521,40.74966
West Thames St,-74.01713445,40.70834698
Broadway & Morris St,-74.01321887969969,40.705945132708806
E 95 St & 3 Ave,-73.950503,40.7849032
Grand Concourse & E 161 St,-73.9227358996868,40.82713380423556
Pinehurst Ave & W 187 St,-73.937878,40.855331
Cauldwell Ave & E 158 St,-73.908351,40.81989
Amsterdam Ave & W 156 St,-73.942386,40.832081
Warren St & W Broadway,-74.00910627,40.71473993
E 88 St & Park Ave,-73.95595908164978,40.781410700190015
Pleasant Ave & E 120 St,-73.9311847,40.7974772
8 St & Astoria Blvd,-73.93266275525093,40.7725996921817
Berry St & N 8 St,-73.95852515,40.7190095
E 54 St & 1 Ave,-73.964179,40.756265
Convent Ave & W 135 St,-73.950988,40.818215
37 Ave & 35 St,-73.9279917,40.7531106
Clinton St & Grand St,-73.9870295,40.71559509
8 Ave & W 33 St,-73.993934,40.751551
Franklin St & Dupont St,-73.95866,40.73564
Broadway & W 165 St,-73.941409,40.839137
Kingsland Ave & Nassau Ave,-73.94173,40.72577
E 14 St & Ave B,-73.97772429,40.72938685
Walker St & Baxter St,-73.999573,40.717411
Broadway & W 138 St,-73.95353,40.82182
Grand St & Havemeyer St,-73.95698119,40.71286844
Amsterdam Ave & W 162 St,-73.939789,40.83618
Graham Ave & Withers St,-73.94485918,40.7169811
Division Ave & Marcy Ave,-73.95796783,40.70708701
Amsterdam Ave & W 180 St,-73.931205,40.847396
E 138 St & Park Ave,-73.92924964427948,40.81263616769319
Barrow St & Hudson St,-74.00674436,40.73172428
Crescent St & 35 Ave,-73.9321455,40.7596276
Sheridan Ave & E 168 St,-73.9154,40.835334
Broadway & W 192 St,-73.932173,40.857994
Richardson St & N Henry St,-73.94223690032959,40.71907891179564
Park Ave & E 124 St,-73.9396861,40.8045555
W 52 St & 5 Ave,-73.97648516,40.75992262
E 3 St & 1 Ave,-73.98783413,40.72467721
Greenpoint Ave & Manhattan Ave,-73.95394,40.73026
39 St & 50 Ave,-73.92737478017807,40.73824937345944
Madison Ave & E 99 St,-73.95242929458618,40.78948541553215
Broadway & Ellwood St,-73.929719,40.862058
Alexander Ave & E 134 St,-73.927107,40.807466
Rivington St & Chrystie St,-73.9919254,40.72110063
Wilson Ave & Troutman St,-73.92754,40.70166
E 138 St & 5 Ave,-73.936153,40.81449
Fort Washington Ave & W 190 St,-73.935662,40.856906
Broadway & Moylan Pl,-73.9590255,40.8143256
5 Ave & E 87 St,-73.95987510681152,40.78232260730881
Bridge St & Water St,-73.98469090461731,40.70296934155272
Melrose Ave & E 150 St,-73.917338,40.816827
44 St & Greenpoint Ave,-73.92103672027588,40.741119944681465
S 4 St & Roebling St,-73.959724,40.710709
E 106 St & Lexington Ave,-73.945993,40.791976
Morningside Dr & Amsterdam Ave,-73.95736455917358,40.81028506306003
Columbus Ave & W 72 St,-73.97898475,40.7770575
31 St & Hoyt Ave N,-73.9170074,40.7711528
E 147 St & Bergen Ave,-73.91839,40.814673
N 7 St & Driggs Ave,-73.956388,40.716967
Riverside Dr & W 78 St,-73.98362492,40.78414472
South St & Gouverneur Ln,-74.00670227,40.70355377
E 5 St & Ave C,-73.97995466,40.72299208
9 Ave & W 204 St,-73.91855701804161,40.86169883507865
E 35 St & Madison Ave,-73.98255586624146,40.74848023448579
E 7 St & Ave B,-73.98131668567657,40.7251285241158
W 59 St & 10 Ave,-73.988038,40.770513
Nassau Ave & Russell St,-73.94434,40.72557
34th Ave & Vernon Blvd,-73.93986314535141,40.76535380385866
46 St & 28 Ave,-73.908782,40.763328
South St & Broad St,-74.01089876890182,40.70188858913366
Greenwich Ave & Charles St,-74.000271,40.735238
Suydam St & St Nicholas Ave,-73.91945,40.70636
Madison Ave & E 120 St,-73.942954,40.80295
E 20 St & Park Ave,-73.98751968,40.73827428
Dyckman St & Staff St,-73.931537,40.868846
W 25 St & 8 Ave,-73.99732626293645,40.74649996333341
37 St & 24 Ave,-73.9120938,40.7701477
E 84 St & 1 Ave,-73.95068615,40.77565541
Mount Eden Pkwy & Eastburn Ave,-73.908544,40.842675
35 St & 30 Ave,-73.91811579465866,40.76547569244953
Brook Ave & E 141 St,-73.917875,40.809619
W 34 St & Hudson Blvd E,-74.00059908628464,40.75516719072139
31 St & Thomson Ave,-73.93540375,40.74469738
Banker St & Meserole Ave,-73.95621,40.72606
W 15 St & 6 Ave,-73.99642959237099,40.738046142482766
Convent Ave & W 151 St,-73.942924,40.82831
Broadway & W 41 St,-73.98658032,40.75513557
55 Dr & Maurice Ave,-73.90917,40.7261
3 Ave & E 109 St,-73.94329,40.79338
E 6 St & Ave B,-73.98185424,40.72453734
Montrose Ave & Bushwick Ave,-73.94016171,40.70767788
6 Ave & Walker St,-74.0052238852195,40.7197920901383
W 211 St & 10 Ave,-73.9172950387001,40.86709406268147
W 21 St & 6 Ave,-73.99415556,40.74173969
E 106 St & Madison Ave,-73.94945003,40.7934337
21 St & Hoyt Ave S,-73.923706,40.774645
Broadway & E 19 St,-73.98987293243407,40.73866091428551
Railroad Ave & Kay Ave,-73.97078096866608,40.70514807698391
34 Ave & 13 St,-73.9364848,40.7638753
Wards Meadow Comfort Station,-73.93077,40.78294
Stanton St & Norfolk St,-73.986274,40.720747
St Nicholas Ave & W 137 St,-73.947568,40.818477
Central Park West & W 68 St,-73.97782542,40.7734066
W 18 St & 6 Ave,-73.99456405,40.73971301
W 40 St & 7 Ave,-73.988154,40.754818
W 90 St & Amsterdam Ave,-73.97288918495178,40.79017948095081
Weeks Ave & E 175 St,-73.907342,40.846879
Howard St & Lafayette St,-73.99973337,40.71910537
Central Park West & W 76 St,-73.97374737,40.77896784
Central Park S & 6 Ave,-73.97634151,40.76590936
Amsterdam Ave & W 125 St,-73.956461,40.813358
Fulton St & Broadway,-74.009447,40.711066
Catherine St & Monroe St,-73.99682619,40.71117444
1 Ave & E 6 St,-73.98616880178452,40.72633085971696
34 Ave & 31 St,-73.92714411020279,40.759604471387945
Washington Square E,-73.9957214,40.73049393
Seaman Ave & Beak St,-73.926363,40.867505
W Tremont Ave & Grand Ave,-73.912785,40.850036
Woodside Ave & 55 St,-73.90893,40.74679
Skillman Ave & 54 St,-73.909887,40.745502
31 Ave & 34 St,-73.920827,40.763154
Gerard Ave & McClellan St,-73.92112,40.833909
Jackson Ave & 46 Rd,-73.94733276,40.74524768
31 Ave & Steinway St,-73.9170071,40.7611488
E 63 St & 3 Ave,-73.9646,40.763954
George St & Wilson Ave,-73.92997,40.702997
Vernon Blvd & 31 Ave,-73.9354504,40.7692475
5 Ave & E 78 St,-73.96427392959595,40.77632142182271
W Broadway & Spring St,-74.00165855884552,40.72494672359416
Morris Ave & McClellan St,-73.9149,40.831584
University Pl & E 8 St,-73.99490341544151,40.73143724085228
Roosevelt Island Tramway,-73.9536,40.757284
N Moore St & Hudson St,-74.00844320654869,40.71996118117138
Lafayette St & Grand St,-73.99879,40.72028
E 102 St & Park Ave,-73.95033068,40.7904828
Broadway & W 168 St,-73.93972098827362,40.84089603193041
William St & Pine St,-74.00887308,40.70717936
Market St & Henry St,-73.99446353316307,40.71310702305908
Dock St & Front St,-73.99253,40.702709
Amsterdam Ave & W 183 St,-73.93022,40.84925
Broadway & W 133 St,-73.956156,40.8190344
28 St & 36 Ave,-73.932719,40.757186
Amsterdam Ave & W 79 St,-73.9786517,40.7829391
Front St & Gold St,-73.982578,40.70224
Jerome Ave & Ogden Ave,-73.931015,40.829797
Irving Ave & Jefferson St,-73.92535,40.70538
Edgecombe Ave & W 141 St,-73.945144,40.820681
S 4 St & Rodney St,-73.95608,40.70934
2 Ave & E 125 St,-73.933509,40.802554
Wythe Ave & N 13 St,-73.957021,40.722767
Central Park W & W 91 St,-73.96680057048798,40.78866499127884
Hudson St & W 13 St,-74.0052741765976,40.74005708567285
46 St & 30 Rd,-73.910989,40.76072
E 89 St & York Ave,-73.946041,40.7779453
Washington Pl & 6 Ave,-74.00026394,40.73224119
Franklin St & W Broadway,-74.00666661,40.71911552
49 Ave & 21 St,-73.948852,40.74252
E 156 St & Brook Ave,-73.912411,40.819823
58 St & 56 Dr,-73.91244,40.72419
W 11 St & 6 Ave,-73.99800419,40.73532427
St Ann's Ave & Westchester Ave,-73.911918,40.815887
Ogden Ave & W 164 St,-73.929372,40.832812
